Institution,Category - ALL,Category - Scheduled Caste(SC),Category - Scheduled Tribe (ST),Category - Other Backward Classes (OBC),Category - Person With Disability (PWD),Category - Muslim,Category - Other Minority Communities,Category - Foreign Students
SOHAIL SHIKSHAN PRASARAK MANDAL VIDARBHA ADHYAPAK VIDYALAYA (D. ED. ) KORPANA CHANDRAPUR (Id: S-10105),1.08,0.5,0.33,2.14,NA,NA,NA,NA
SOLAPUR EDUCATION SOCIETY'S POLYTECHNIC SOLAPUR (Id: S-2197),0.29,0.35,NA,0.26,NA,0.38,NA,NA
"Somnath ANM School, Kodinar (Id: S-14027)",NA,NA,NA,NA,NA,NA,NA,NA
SONABAI SAGAR JR. COLLEGE OF FEDUCATON KAVATHE MAHAKAL SANGLI (Id: S-10109),NA,NA,NA,NA,NA,NA,NA,NA
SONIA GANDHI SCHOOL OF NURSING GULBARGA (Id: S-4305),0.24,0.29,NA,NA,NA,NA,NA,NA
SOORIYA SCHOOL OF NURSING CHENNAI (Id: S-5336),NA,NA,NA,NA,NA,NA,NA,NA
SOPHIA NURSING SCHOOL GWALIOR (Id: S-4719),0.34,0.29,0.19,0.31,0,0,2.33,NA
SOPHIA SHREE B.K. SOMANI MEMORIAL POLYTECHNIC) MUMBAI (Id: S-2198),NA,NA,NA,NA,NA,NA,NA,NA
"SOUDAGAR KANNADA D.ED COLLEGE, BIDAR (Id: S-12161)",0.75,1,NA,0,NA,NA,NA,NA
SOURASHTRA TEACHER TRAINING INSTITUTE VEERAPANDI (Id: S-8288),NA,NA,NA,NA,NA,NA,NA,NA
SOUTH CALCUTTA POLYTECHNIC (Id: S-13873),0.21,0.4,NA,0.5,NA,0,NA,NA
"SOWKHYA D ED COLLEGE, BAINDOORU, UDUPI (Id: S-13664)",NA,NA,NA,NA,NA,NA,NA,NA
"SOWKHYA INSTITUTE OF NURSING SCIENCE, NEAR SOWKHYA NURSING HOME , N. H. 17, BYNDOOR, UDUPI (Id: S-4307)",8.25,NA,22,3.67,NA,NA,NA,NA
"SOWKHYA INSTITUTE OF NURSING SCIENCE, OPPOSITE FOREST OFFICE, N H 17,BHATKAL, UDUPI (Id: S-4308)",0.73,NA,NA,0.73,NA,NA,NA,NA
SOWRABHA INSTITUTE OF NURSING SCIENCES TUMKUR (Id: S-4309),1.79,12.75,10,NA,NA,NA,NA,NA
"S PADMAVATHY POLYTECHNIC COLLEGE, THURAIYUR (Id: S-13779)",0.12,0.15,0,0.14,NA,NA,NA,NA
S. P. D. ED. COLLEGE MARATHA SHIKSHAN SANSTHA GAJANAN AMRAVATI AMRAVATI (Id: S-9801),NA,NA,NA,NA,NA,NA,NA,NA
SPECT POLYTECHNIC (Id: S-2993),NA,NA,NA,NA,NA,NA,NA,NA
S P FORT SCHOOL OF NURSING THIRUVANANTHAPURAM (Id: S-4563),5,NA,NA,3,NA,NA,NA,NA
SPOORTHY VIDYA SAMSTHE HASSAN (Id: S-6722),7.2,3,NA,NA,NA,NA,NA,NA
"S.PREETHI TEACHER TRAINING INSTITUTE, PADAMATHUR, SIVAGANGAI (Id: S-13910)",NA,NA,NA,NA,NA,NA,NA,NA
"SPS DED COLLEGE HOSADURGA, CHITRADURGA (Id: S-12291)",5.67,4,NA,NA,NA,NA,NA,NA
"SPS DED COLLEGE RANGAPURA, TUMKUR (Id: S-12219)",3.2,2.75,1,NA,NA,NA,NA,NA
SPURTHY INSTITUTE OF NURSING BANGALORE (Id: S-4310),2.52,2,NA,NA,NA,NA,NA,NA
"S.RADHAKRISHA D.ED COLLEGE, HUMNABAD (Id: S-12750)",7.5,11,NA,3,NA,NA,NA,NA
SRAVANTHI INSTITUTE OF ELEMENTARY TEAHCER EDN. WARANGAL (Id: S-5651),0.83,0.37,0.5,1.15,NA,0,NA,NA
"SRAVYA SCHOOL OF NURSING, PONNUR, GUNTUR (Id: S-13044)",NA,NA,NA,NA,NA,NA,NA,NA
S R C INSTITUTE OF BUSINESS MANAGEMENT BANGALORE (Id: S-1409),0.74,0.61,2,0.88,NA,0,NA,NA
SREE ARUMUGAM TEACHER TRAINING INSITITUTE VAITHIYANATHAPURAM THOLUDUR (Id: S-8289),1,1.43,0,0.25,NA,NA,NA,NA
SREE ARUMUGHAM POLYTECHNIC COLLEGE THOLUDUR (Id: S-2994),0.05,0.05,0,0.04,NA,NA,NA,NA
SREE BAHUBALI POLYTECHNIC SHRAVANABELAGOLA (Id: S-1445),0.28,0.38,2,0.32,NA,0,NA,NA
SREE BASAVESHWARA SCHOOL OF NURSING TUMKUR (Id: S-4311),4.38,3.67,4.33,3,0,NA,NA,NA
"Sreedevi Elementary Teacher Training Cllege, Borampalli (V), Kalyanadurg(M), Anantapur District-515761 (Id: S-13402)",0.92,0.78,0.4,1.1,NA,NA,NA,NA
SREE DHARMA PARIPALANA YOGAM SCHOOL OF TTC COCHIN (Id: S-7120),9.5,NA,NA,6,NA,NA,NA,NA
SREE KRISHNA POLYTECHNIC COLLEGE VADASERY (Id: S-2997),0.07,0.05,NA,0.03,0,0,0.06,NA
SREE KRISHNA TEACHERS TRAINING INSTITUTE TUMKUR (Id: S-6729),NA,NA,NA,NA,NA,NA,NA,NA
SREE KUMARAGURU POLYTECHNIC COLLEGE HARUR (Id: S-2998),0.09,0.09,0,0.08,NA,0,NA,NA
SREE MAHADEVA TEACHER EDUCATION INSTITUTE KOTTAYAM (Id: S-7121),18.67,16,12,24,NA,NA,NA,NA
"SREEMANGALA DED COLLEGE VIRAJPET TALUK, KODAGU (Id: S-12265)",NA,NA,NA,NA,NA,NA,NA,NA
SREE MULLAPUDI VENKATARAYA MEMORIAL POLYTECHNIC (Id: S-638),0.38,0.36,0.06,0.37,NA,NA,NA,NA
SREENAGAR SCHOOL OF NURSING BANGALORE (Id: S-4314),0.59,NA,NA,NA,NA,NA,NA,NA
SREE NARAYANAGURU POLYTECHNIC COLLEGE MADUKKARAI (Id: S-2999),0.06,0.04,NA,0.06,NA,0.02,0.07,NA
SREE NARAYANA TEACHER TRAINING INSTITUTE PALAKKAD (Id: S-7125),41.5,NA,NA,58,NA,NA,NA,NA
SREE NATARAJA SCHOOL OF NURSING MYSORE (Id: S-4312),6.73,8.5,11,NA,NA,NA,NA,NA
SREE N. DASHARATHAIAH T.T.I CHITRADURG (Id: S-6731),6,2.5,NA,NA,NA,NA,NA,NA
SREEN NARAYANA POLYTECHNIC COLLEGE KOTTIYAM (Id: S-1527),0.53,0.65,1,0.62,0,0.9,0.27,NA
SREE RAJA RAJESHWARA SWAMY GOVERNMENT POLYTECHNIC SIRCILLA (Id: S-639),0.29,0.31,0.4,0.27,NA,0.09,0,NA
SREE RAMA GOVERNMENT POLYTECHNIC COLLEGE THRIPRAYAR (Id: S-1526),0.67,0.57,0,0.75,0.03,0.81,NA,NA
SREE RAMA INSTITUTE OF ELEMENTARY TCHR. EDN. CHITTOOR (Id: S-5652),1.69,2.14,1.33,1.36,NA,NA,NA,NA
SREE RAMKRISHNA SILPA VIDYAPITH (GOVT POLYTECHNIC) BIRBHUM (Id: S-10956),0.09,0.06,0,NA,NA,NA,NA,NA
"SREE RANGA DED COLLEGE BYE PASS ROAD, HASSAN (Id: S-12236)",NA,NA,NA,NA,NA,NA,NA,NA
SREE SIDDARAMESHWARA POLYTECHNIC TIPTUR (Id: S-1446),0.49,NA,NA,NA,NA,NA,NA,NA
SREE SREENIVAASAR TEACHER TRAINING INSTITUTE PANAGUDI (Id: S-8296),15.6,32,NA,4.67,NA,NA,NA,NA
"SREE VAIKUNDAR POLYTECHNIC COLLEGE PILLAYARPURAM, KANYAKUMARI (Id: S-12790)",0.1,0,NA,0.1,NA,NA,NA,NA
"SREE VARI MAYASUDHAN COLLEGE OF POLYTECHNIC IDDAYAR KUDIIRUPPU, RAMANATHAPURAM (Id: S-12791)",0.01,0.01,NA,NA,NA,NA,NA,NA
SREE VISHWABHARATHI TEACHER TRAINING INSTITUTION TUMKUR (Id: S-6738),2.82,2,2.75,7.5,NA,NA,NA,NA
SREE VISHWA SEVA VIDYA SAMSTHE TUMKUR (Id: S-6737),3.2,2.75,1,NA,NA,NA,NA,NA
S R G POLYTECHNIC COLLEGE ATHANUR (Id: S-2959),0.08,0.08,0.33,NA,NA,0.12,NA,NA
SRI ABDUL NAZIRSAB TEACHER TRAINING INSTITUTE CHAMARAJANAGAR (Id: S-6739),NA,NA,NA,NA,NA,NA,NA,NA
SRI ADARSH MAHILA ELE. TEACHERS EDUCATION SCHOOL (Id: S-7652),NA,NA,NA,NA,NA,NA,NA,NA
SRI ADHISANKARAR POLYTECHNIC COLLEGE IRUNGALUR (Id: S-3001),0.05,0.04,0.14,0.05,NA,0,0.09,NA
SRI ADHISANKARAR TEACHER TRAINING INSTITUTE MANNACHANALLUR (Id: S-8301),5,NA,NA,5,NA,NA,NA,NA
"SRI ADICHUNCANAGIRI D PED COLLEGE, ADICHUNCHANAGIRI (Id: S-12502)",NA,NA,NA,NA,NA,NA,NA,NA
"SRI ADICHUNCHANAGIRI D ED COLLEGE H D KOTE, MYSORE (Id: S-12567)",12,7,NA,7,NA,NA,NA,NA
SRI ADICHUNCHANAGIRI SHIKSHANA TRUST MANDYA (Id: S-6741),4,NA,NA,4,NA,NA,NA,NA
"SRI ADICHUNCHANAGIRI SHIKSHNA TRUST SRI KAVERI VIDYASHALA (BGS D ED COLLEGE), SRIRANGAPATNA (Id: S-12500)",8.5,10,NA,NA,NA,NA,NA,NA
SRI ANANDA VIDYABHIVRUDDI SAMSTHE DAVANAGERE (Id: S-6744),3.73,2,4,10,NA,NA,NA,NA
SRI.ANGALAMMAN TEACHER TRAINING INSTITUTE MELPERUMACHERI KALPAKKAM (Id: S-8411),NA,NA,NA,NA,NA,NA,NA,NA
SRI ANJENAYA SWAMY SEVA TRUST TUMKUR (Id: S-6745),18,13,NA,NA,NA,NA,NA,NA
"SRI ANNAI ABHIRAMI POLYTECHNIC COLLEGE, PUDUKKOTTAI (Id: S-3002)",0.04,0,NA,0.03,NA,NA,NA,NA
"SRI ANNAI POLYTECHNIC COLLEGE, VELLORE (Id: S-12739)",0.09,0.09,0.5,0.09,NA,0.2,NA,NA
SRI ANNAMALAI POLYTECHNIC COLLEGE PADUR (Id: S-3003),0.04,0.05,NA,0.03,NA,0.05,0.03,NA
SRI ANNAMALAIYAR TEACHER TRAINING INSTITUTE KRISHNAGIRI MAIN ROAD BARUGUR (Id: S-8303),0.36,0.67,NA,0.25,NA,NA,NA,NA
SRI ARAVINDA TEACHERS TRAINING INSTITUTE BANGALORE RURAL (Id: S-6746),12,9.5,NA,NA,NA,NA,NA,NA
SRI AUROBINDO SEVA KENDRA SCHOOL OF NURSING SOUTH 24 PARGANAS (Id: S-5557),NA,NA,NA,NA,NA,NA,NA,NA
SRI AYYAPPA POLYTECHNIC COLLEGE AIVADHUGUDI (Id: S-3005),0.05,0.09,0,0.05,NA,0.04,NA,NA
SRI AYYPPA TEACHER TRAINING INSTITUTE SRI AYYAPPA EDUN TRUST (Id: S-8305),2.36,3.43,NA,0.5,NA,NA,NA,NA
SRI BALAGANGADHARANATHA SWAMIJI TEACHERS EDN INSTI CHIKMANGALORE (Id: S-6750),4,4,NA,4,NA,NA,NA,NA
"SRI BALA GANGADHARANATH SWAMI TTI, SRINGERI (Id: S-12417)",17,4,NA,17,NA,NA,NA,NA
SRI BALAJI POLYTECHNIC COLLEGE CHENGALPET (Id: S-3006),0.14,0.15,0,0.13,NA,NA,NA,NA
"SRI BALAJI PULIPATI PRASAD SCHOOL OF NURSING, KOTHAGUDEM, KHAMMAM (Id: S-13181)",NA,NA,NA,NA,NA,NA,NA,NA
SRI BALAJI SOCIETY BALAJI INSTITUTE OF MODERN MANAGEMENT (Id: S-257),0.77,1,1,0.82,NA,0.33,NA,NA
SRI BALAJI TEACHERS TRAINING INSTITUTE SWAMY EDUCATIONAL TRUST CHROMEPET (Id: S-8311),NA,NA,NA,NA,NA,NA,NA,NA
SRI BALAJI TEACHER TRAINING INSTITUTE ARNI (Id: S-8307),2.89,3.67,NA,2.5,NA,NA,NA,NA
SRI BALAJI TEACHER TRAINING INSTITUTE FOR WOMEN CHERANMAHADEVI (Id: S-8309),NA,NA,NA,NA,NA,NA,NA,NA
SRI BALAKRISHNA POLYTECHNIC COLLEGE DHARAPURAM (Id: S-3007),0.07,0.08,NA,0.06,NA,NA,NA,NA
SRI BALAMURUGAN POLYTECHNIC COLLEGE THALAYUTHU (Id: S-3008),0.02,0,0,0.02,NA,NA,NA,NA
SRI BANDESHWARA SWAMY VIDHYA PEETHA BANGALORE (Id: S-6751),3,1.5,NA,NA,NA,NA,NA,NA
SRI BASAVARAJ SCHOOL OF NURSING CHITRADURGA (Id: S-4315),4.29,7.5,4,NA,NA,NA,NA,NA
SRI BASAVESHWARA TEACHER TRAINING INSTITUTE TUMKUR (Id: S-6753),3.94,5.17,2,2.67,NA,NA,NA,NA
SRI BEERASHWARA EDUCATION SAMSTHE SANKESHWAR BELGAUM (Id: S-6754),8.14,4.2,4,NA,NA,NA,NA,NA
SRI B F VAGGANAVARA MEMORIAL CHARITABLE EDUCATIONA GADAG (Id: S-6747),0.66,0.52,0.67,NA,NA,NA,NA,NA
SRI BHARATHI POLYTECHNIC COLLEGE FOR WOMEN KAIKKURICHI (Id: S-3009),NA,NA,NA,NA,NA,NA,NA,NA
"SRI BHARATHI TEACHER TRAINING INSTITUTE, ILLUPPUR, PUDUKOTTAI (Id: S-13905)",NA,NA,NA,NA,NA,NA,NA,NA
SRI BHARATHI TEACHER TRAINING INSTITUTE THENPALLI (Id: S-8315),4.67,NA,NA,NA,NA,NA,NA,NA
"SRI BHARATHI TEACHER TRAINING INSTITUTE (W), PUDUKOTTAI (Id: S-13904)",NA,NA,NA,NA,NA,NA,NA,NA
SRI BHARATHI VELU POLYTECHNIC COLLEGE MELVENKATAPURAM (Id: S-3010),0.03,0.04,NA,0.03,NA,NA,NA,NA
SRI BHARGAVI SCHOOL OF NURSING NELLORE (Id: S-3621),NA,NA,NA,NA,NA,NA,NA,NA
SRI BHARGAVI SCHOOL OF NURSING PRAKASAM (Id: S-3622),NA,NA,NA,NA,NA,NA,NA,NA
SRI BHAVANA SCHOOL OF NURSING NALGONDA (Id: S-3623),NA,NA,NA,NA,NA,NA,NA,NA
SRI. BHAVANI TEACHER TRAINING INSTITUTE KOLAR (Id: S-6847),0.76,NA,NA,NA,NA,NA,NA,NA
SRI BHAVANI VIDYALAYA T.T.I. FOR WOMEN THIRUVANTHIPURAM (Id: S-8317),0,0,0,0,NA,NA,NA,NA
SRI B.V.N.PAVAN TEACHERS TRAINING INSTITUTE KOLAR (Id: S-6749),3.13,2.43,2,NA,NA,NA,NA,NA
SRI B.V.N. TEACHERS TRAINING INSTITUTE KOLAR (Id: S-6748),NA,NA,NA,NA,NA,NA,NA,NA
SRI CHAITANYA POLYTECHNIC COLLEGE (Id: S-641),0.01,0,0.07,0.02,NA,NA,NA,NA
"SRI CHANDRASHEKARA SWAMY D.ED COLLEGE GANGAVATHI, KOPPAL (Id: S-12576)",9.67,NA,0.67,NA,NA,NA,NA,NA
SRI CHANDRA SHEKARA TEACHERS TRAINING INSTITUTE HASSAN (Id: S-6757),5.5,4,NA,7,NA,NA,NA,NA
SRI CHANNABASAVESHWARA PRIMARY TEACHER TRAINING IN HAVERI (Id: S-6758),1.71,1.12,1.25,5,NA,NA,NA,NA
"SRI CHANNABASAVESWARA D.ED. COLLEGE, DHARWAD (Id: S-12623)",2.75,1,1.5,NA,NA,NA,NA,NA
SRI.CHANNAKESHAVA SWAMY TEACHER TRAINING INSTITUTE CHITRADURG (Id: S-6852),0.5,0.38,2,NA,NA,NA,NA,NA
"SRI CHAYADEVI D ED COLLEGE, PURA GATE K R PET (Id: S-12496)",2.18,1.4,1,NA,NA,NA,NA,NA
SRI CHICK VEERA DESHIKENDA SWAMY SCHOOL OF NURSING MYSORE (Id: S-4316),24,NA,NA,5.5,NA,NA,NA,NA
SRI CHOWDESHARI EDUCATIONAL TRUST KOLAR (Id: S-6761),1.88,0,0,NA,NA,NA,NA,NA
SRI. D. DEVRAJ URS TEACHER TRAINING INSTITUTE BIDAR (Id: S-6848),2.9,2.29,2.33,5.25,NA,NA,NA,NA
SRI DEVI TEACHER TRAINING INSTITUTE KRISHNAPURAM PONNERI (Id: S-8318),11.67,7.33,NA,NA,NA,NA,NA,NA
"SRI DEVRAJ URS ET EKALAVYA TTI BASAVAKALYANA TALUK, BIDAR (Id: S-12392)",2,1,0.33,NA,NA,NA,NA,NA
SRI DURGA DEVI POLYTECHNIC COLLEGE KHIZL MUDALAM BEDU (Id: S-3011),0.12,0.09,1,NA,NA,NA,NA,NA
SRI DURGA SCHOOL OF NURSING PRAKASAM (Id: S-3624),41.75,6.5,NA,NA,NA,NA,NA,NA
SRI DURGA SCHOOL OF NURSING PUDUKKOTTAI (Id: S-5340),NA,NA,NA,NA,NA,NA,NA,NA
SRI ESHWARAMMAJI SCHOOL OF NURSING ( S E S O N) KOLAR (Id: S-4317),6.04,6.15,9,0.67,NA,NA,NA,NA
SRI GANGADHARESWARA EDUCATION SOCIETY CHAMARAJANAGAR (Id: S-6766),10,NA,3,NA,NA,NA,NA,NA
SRI GANGAPARAMESHWARI EDUCATIONAL TRUST GULBARGA (Id: S-6767),4.75,3,NA,7.67,NA,NA,4.75,NA
SRI GAVISIDDESHWAR TEACHERS TRAINING INSTITUTE KOPPAL (Id: S-6768),0.67,2,5,0.36,NA,NA,NA,NA
"SRI GAVISIDDESWAR D ED COLLEGE, HIREMANNAPUR, KOP (Id: S-13676)",0.81,1,0.57,1,0,0,NA,NA
SRI GNANA PRASUNAMBIKA SCHOOL OF NURSING CHITTOOR (Id: S-3625),NA,NA,NA,NA,NA,NA,NA,NA
"SRI GOVIND SHIKSHAK PRASHIKSHAN COLLEGE BISAU, JHUNJHUNU (Id: S-12541)",0.93,2,0.5,1.5,0,NA,NA,NA
SRI G PULLA REDDY GOVERNMENT POLYTECHNIC (Id: S-642),0.18,0.19,0,0.18,0,0,NA,NA
SRI GURURAJ TEACHER TRAINING INSTITUTE KOLAR (Id: S-6774),2.08,1.14,3,3.5,NA,NA,NA,NA
"SRI GURU SHANESHWARA D ED COLLEGE, MELKOTE (Id: S-12497)",13.5,NA,NA,9.5,NA,NA,NA,NA
SRI HARI KHODE TEACHER TRAINING INSTITUTE BELGAUM (Id: S-6775),3,1.25,NA,3.2,0,NA,NA,NA
"SRI HARNARAIN SOMANI TEACHERS TRAINING INSTITUTIONS, MYSORE (Id: S-12090)",6.8,NA,3,9,NA,NA,NA,NA
SRI HARSHA SCHOOL OF NURSING KURNOOL (Id: S-3626),NA,NA,NA,NA,NA,NA,NA,NA
SRI HEBBUR CHARITABLE TRUST SHIMOGA (Id: S-6776),11,11,NA,10,0,NA,NA,NA
"SRI HOYSALA DED, DAVANAGERE (Id: S-12550)",2.5,1,2,NA,NA,NA,NA,NA
SRI ISSAC NEWTON TEACHER TRAINING INSTITUTE KADAMBADY (Id: S-8320),8.36,5.55,NA,NA,NA,NA,NA,NA
SRI JAGADAMBA PRE-PRIMARY TTI MYSORE (Id: S-6778),NA,NA,NA,NA,NA,NA,NA,NA
SRI JAGADGURU GURUBASAVESHWARA T.T.I SHIMOGA (Id: S-6780),4,2,NA,NA,NA,NA,NA,NA
"SRI JAGAJYOTHI BASAVESHWAR DED COLLEGE, BIJAPUR (Id: S-12304)",4.62,4.5,NA,NA,NA,NA,NA,NA
SRI JASWANTH SCHOOL OF NURSING HYDERABAD (Id: S-3627),NA,NA,NA,NA,NA,NA,NA,NA
SRI JAYAJOTHI TEACHER TRAINING INSTITUTE KURUKKPATTI THARAMANGALAM (Id: S-8321),NA,NA,NA,NA,NA,NA,NA,NA
SRI.JAYENDRA SARASWATHI SWAMIJI TTI ENATHUR (Id: S-8412),2.07,1.78,NA,2.33,NA,NA,NA,NA
SRI JAY MARUTHI POLYTECHNIC COLLEGE MANIVIZHUNDAN SOUTH (Id: S-3012),0,0.01,0,0,0,0,0,NA
SRI JEYA SCHOOL OF NURSING VELLORE (Id: S-5342),NA,NA,NA,NA,NA,NA,NA,NA
SRI KAAGINELE MAHASAMSTANA KANAKA GURUPEETA T.T.I HAVERI (Id: S-6783),0.25,0,1,0.08,NA,NA,NA,NA
SRI KAALIKAMBAL TEACHER TRAINING INSTITUTE VELAPPANCHAVADI (Id: S-8327),35,39,NA,31,NA,NA,NA,NA
"SRI KABEERANANDA SWAMI D.P.ED COLLEGE, CHITRADURGA (Id: S-12660)",0.5,0.83,0.2,0,NA,NA,NA,NA
"SRI KABIRANANDASWAMI DED COLLEGE, CHITRADURGA (Id: S-12276)",4.33,2.5,NA,NA,NA,NA,NA,NA
SRI KAGINELE MAHASAMSTHANA KANAKA GURUPEETA T.T.I BANGALORE (Id: S-6785),NA,NA,NA,NA,NA,NA,NA,NA
SRI KAMADHENU SCHOOL OF NURSING CHICKMAGALUR (Id: S-4320),32.5,NA,NA,10,NA,NA,NA,NA
"SRI KANCHANESHWARI D.ED. COLLEGE, GULEDGUDD, BAGALKOT (Id: S-12012)",0.58,3,0,NA,NA,NA,NA,NA
SRI KANNIKA PARAMESHWARI EDUCATION FOUNDATION RAICHUR (Id: S-6788),1.33,0.9,1,4.67,NA,NA,NA,NA
SRI KARPAGA POLYTECHNIC COLLEGE KANCHIPURAM (Id: S-3013),0.04,0.04,NA,0.07,NA,NA,0.04,NA
"SRI KOTTURESHWARA DED COLLEGE, AJJAMPUR (Id: S-12422)",7,5,NA,NA,NA,NA,NA,NA
SRI KOTTURSWAMY VIVIDODHESH KOPPAL (Id: S-6790),5.14,NA,1,5.5,NA,NA,NA,NA
SRI K.RAMACHANDRA NAIDU TEACHER TRAINING INSTITUTE SANKARANKOVIL (Id: S-8326),NA,NA,NA,NA,NA,NA,NA,NA
SRI KRISHNA POLYTECHNIC BANGALORE (Id: S-1447),0.15,NA,NA,NA,NA,NA,NA,NA
SRI KRISHNA POLYTECHNIC COLLEGE SEVUGAMPATTI (Id: S-3014),0.01,0.03,NA,0.01,NA,NA,NA,NA
SRI KRISHNA POLYTECHNIC COLLEGE VADAMAMBAKKAM (Id: S-3015),0.07,0.1,NA,0.08,NA,NA,NA,NA
SRI KRISHNA SCHOOL OF EDUCATION PANAPAKKAM SRI PERAMBATHUR (Id: S-8329),NA,NA,NA,NA,NA,NA,NA,NA
SRI KRISHNA SCHOOL OF NURSING BANGALORE (Id: S-4322),5.67,NA,NA,NA,NA,1.43,2,NA
SRI KRISHNA SCHOOL OF NURSING CHITTOOR (Id: S-3628),NA,NA,NA,NA,NA,NA,NA,NA
SRI KRISHNA TEACHER TRAINING INSTITUTE ARAKKONAM (Id: S-8330),NA,NA,NA,NA,NA,NA,NA,NA
"SRI KUMARAN SCHOOL OF NURSING, CHENNAI (Id: S-12909)",NA,NA,NA,NA,NA,NA,NA,NA
SRI. K.VENKATAPATHEPPA TEACHER TRAINING INSTITUTE KOLAR (Id: S-6850),0.98,0.32,1.17,2.85,NA,NA,NA,NA
SRI. K.V SHANKARAGOWDA PRIMARY TTI MANDYA (Id: S-6849),2.67,1.33,NA,3.17,NA,NA,NA,NA
SRI LAKSHMI NARASIMHA SWAMY VIDYA SAMSTHE CHITRADURG (Id: S-6791),2.73,1.92,6,9,NA,NA,NA,NA
SRI LAKSHMI SCHOOL OF NURSING GUNTUR (Id: S-3629),69.5,49.5,NA,NA,NA,NA,NA,NA
SRI LAKSHMI TEACHER TRAINING INSTITUTE VELAYUTHA NAGAR JAYANKONDAM (Id: S-8337),14.5,26,NA,10.67,NA,NA,NA,NA
"SRI LAKSHMI VENKATESHWARA D.ED COLLEGE, LINGASUGUR (Id: S-12682)",0.06,NA,NA,NA,NA,NA,NA,NA
"Sri Lakshmi Venkateswara D.Ed. College, D.No.1-47-1, Byreddynagar, Stantanpuram, Kurnool (Id: S-13408)",1.13,1,1.6,1.44,NA,NA,NA,NA
SRI LAKSHMI VENKATESWARA SCHOOL OF NURSING ANANTAPUR (Id: S-3630),NA,NA,NA,NA,NA,NA,NA,NA
SRI LAKSHMI VENKATESWARA SCHOOL OF NURSING CHITRADURGA (Id: S-4323),9.38,6.12,6.25,46,NA,NA,NA,NA
"SRI LEPAKSHA SWAMY SCHOOL OF NURSING, CHITRADURGA (Id: S-12871)",16.33,NA,2,13,NA,NA,NA,NA
"SRI LEPAKSHI SWAMY D ED COLLEGE, ANTHARAGATTE, CMR (Id: S-13693)",NA,NA,NA,NA,NA,NA,NA,NA
"SRI MAHALAKSHMI POLYTECHNIC COLLEGE POONDIYANKUPPAM, CUDDALORE (Id: S-12734)",0.02,0.02,0,0.02,NA,0,NA,NA
SRI MAHALAKSHMI TEACHERS TRAINING INSTITUTE FOR WOMEN PALLADAM TIRUPUR (Id: S-8338),NA,NA,NA,NA,NA,NA,NA,NA
SRI MAHANTESHWARA VIDYA SAMSTHE BANGALORE RURAL (Id: S-6797),2.75,3,NA,2,NA,NA,NA,NA
SRI MANAKULA VINAYAGAR POLYTECHNIC COLLEGE (Id: S-2390),0.14,0.12,NA,0.14,NA,NA,NA,NA
SRI MARUTHI TEACHEER TRAINING INSTITUTE KOLAR (Id: S-6800),1.93,1.1,1,4.25,NA,NA,NA,NA
"SRI MARUTI DED COLLEGE BELAGUR, CHITRADURGA (Id: S-12283)",0.75,0.33,NA,2,NA,NA,NA,NA
SRI MIRAMBICA COLLEGE OF TEACHERS EDUCATION RAJKOT (Id: S-6105),NA,NA,NA,NA,NA,NA,NA,NA
"SRI MOOGAMBIGAI POLYTECHNIC COLLEGE, HOSUR MAIN ROAD, MADHAMPATTI (Id: S-13953)",0.07,0.07,NA,NA,NA,NA,NA,NA
"SRI MOOKAMBIGAI SCHOOL OF NURSING, TIRUCHIRRAPPALLI (Id: S-5289)",NA,NA,NA,NA,NA,NA,NA,NA
SRI MRUTHYUNJAYA SCHOOL OF NURSING DAVANGERE (Id: S-4324),5.91,19,9.5,2.56,NA,1,NA,NA
"SRI MUNESHWARA SWAMY TTI, CHANNAPATNA (Id: S-13703)",3.67,8,NA,1.5,NA,NA,NA,NA
SRI MUPPUDATHIAMMAN TEACHERS TRAINING INSTITUTE ALANGULAM (Id: S-8343),NA,NA,NA,NA,NA,NA,NA,NA
SRI MUTHALAMMAN POLYTECHNIC COLLEGE THELICHATHANALLUR (Id: S-3016),0.01,0,NA,0.01,NA,0,0,NA
SRI MYLARALINGESHWARA SWAMY SCHOOL OF NURSING CHITRADURGA (Id: S-4325),6.89,NA,4.5,4,NA,NA,NA,NA
SRI NALLALAGHU POLYTECHNIC COLLEGE THANDAL KALANI (Id: S-3017),0.08,0.13,NA,0.07,NA,NA,NA,NA
SRI NANDHANAM POLYTECHNIC COLLEGE MOLAGARAMPATTI (Id: S-3018),0.07,0.08,0,0.07,NA,0.02,0,NA
"SRI NANDI RURAL D ED COLLEGE, DEVANAHALLY TOWN (Id: S-13704)",1.43,1.16,2,NA,NA,NA,NA,NA
SRI NATARAJA TEACHER TRAINING INSTITUTE VILLUPURAM (Id: S-8344),7.67,12,NA,5.5,NA,0,NA,NA
SRI NATESANAR TEACHER TRAINING INSTITUTE WALAJA (Id: S-8345),NA,NA,NA,NA,NA,NA,NA,NA
SRI NIRVANASWAMY SCHOOL OF NURSING BANGALORE RURAL (Id: S-4327),1.2,4.6,NA,2.5,NA,0,NA,NA
SRI NIRVANASWAMY TEACHER TRAINING INSTITUTE BANGALORE RURAL (Id: S-6803),4.62,2.83,NA,9.5,NA,NA,NA,NA
SRINIVASAN POLYTECHNIC COLLEGE PERAMBALUR (Id: S-3050),0.07,0.15,0,0.06,NA,0,NA,NA
