Institution,Category - ALL,Category - Scheduled Caste(SC),Category - Scheduled Tribe (ST),Category - Other Backward Classes (OBC),Category - Person With Disability (PWD),Category - Muslim,Category - Other Minority Communities,Category - Foreign Students
"Bharathiar University, Coimbatore (Id: U-0447)",0.96,1.15,0.81,1.41,0.51,0.43,0.67,0.82
"Bharathidasan University, Tiruchirappalli (Id: U-0448)",1.52,1.44,1.8,0.88,NA,NA,NA,NA
Bharath Institute of Higher Education & Research (Id: U-0446),0.25,0.38,0.33,0.21,NA,NA,NA,NA
"Bharati Vidyapeeth, Pune (Id: U-0292)",0.77,0.94,0.6,0.62,0,NA,NA,NA
Bharat Ratana Dr. B. R. Ambedkar University (Id: U-0097),2.07,0.96,1.81,1.2,0.6,NA,NA,1.67
"Bhatkhande Music Institute, Lucknow (Id: U-0501)",1.21,47,28,15,NA,NA,NA,NA
"Bhupendra Narayan Mandal University, Madhepura (Id: U-0059)",0.85,0.49,0.47,0.77,0.67,0.28,NA,NA
"Bidhan Chandra Krishi Vishwavidyalaya , Nadia (Id: U-0568)",0.5,NA,NA,NA,NA,NA,NA,NA
"Bihar Agriculture University, Sabour (Id: U-0060)",1.04,1,NA,0.73,NA,NA,NA,NA
"Biju Patnaik University of Technology, Rourkela (Id: U-0351)",0.53,0.22,0.2,NA,NA,NA,NA,NA
BILASPUR VISHWAVIDYALAYA (Id: U-0636),NA,NA,NA,NA,NA,NA,NA,NA
"Birla Institute of Technology, Ranchi (Id: U-0202)",0.36,0.23,0.37,0.34,NA,0.4,0.42,NA
"Birla Institute of Technology & Sciences, Pilani (Id: U-0391)",0.27,NA,NA,NA,NA,NA,NA,NA
"Birsa Agricultural University, Ranchi (Id: U-0203)",0.41,1.67,0.94,0.58,NA,NA,NA,NA
"B.L.D.E. University, Bijapur (Id: U-0214)",0.91,0.45,0.2,0.9,NA,NA,NA,NA
B.S. Abdur Rahman Institute of Science & Technology (Id: U-0445),0.3,0.37,NA,0.26,NA,0.15,0.46,1
"Bundelkhand University, Jhansi (Id: U-0502)",0.51,0.45,0,0.52,NA,NA,NA,NA
"Burdwan University, Burdwan (Id: U-0569)",1.63,0.96,1.71,1.2,0.67,1.44,1.12,NA
"Calcutta University, Kolkata (Id: U-0570)",1.4,0.97,1.65,NA,0.74,NA,NA,NA
"Calicut University, Thenhipalem, Malapuram (Id: U-0251)",2.38,10,NA,1.89,NA,2,NA,NA
"CAREER POINT UNIVERSITY, HAMIRPUR (Id: U-0694)",0.38,0.56,0,0.5,NA,NA,NA,NA
"Carlox Teacher's University, Ahmedabad (Id: U-0125)",0.89,0.8,0.87,0.67,NA,NA,NA,NA
"Central Agricultural University, Imphal (Id: U-0336)",0.99,0.71,1.08,0.79,NA,1.5,1,NA
"Central Institute of Fisheries Education, Fishries University, Mumbai (Id: U-0293)",0.47,0.24,0.25,0.64,0,0.33,NA,0.22
"Central Institute of Higher Tibetan Studies, Varanasi (Id: U-0503)",0.41,NA,0.56,NA,NA,NA,0.38,1
"Central Univeristy of Gujarat, Gandhinagar (Id: U-0126)",0.57,0.35,0.62,0.41,0.4,NA,NA,NA
"Central Univeristy of Kerala, Trivandrum (Id: U-0252)",2.21,1.53,2.2,2.49,0,0.9,1.89,NA
"Central University of Bihar, Patna (Id: U-0062)",0.71,0.54,3,0.48,NA,0.67,NA,NA
"Central University of Haryana, Mahendergarh (Id: U-0158)",0.94,1.42,0,0.55,NA,0,NA,NA
"Central University of Himachal Pradesh, Dharmshala, Kangra (Id: U-0178)",1.08,0.62,0.74,0.73,NA,NA,NA,NA
CENTRAL UNIVERSITY OF JAMMU (Id: U-0631),1.4,1.76,0.9,1.57,NA,0.26,NA,NA
"Central University of Jharkhand, Ranchi (Id: U-0204)",0.83,0.42,0.56,0.56,0,0,0.51,NA
"Central University of Karnataka, Gulbarga (Id: U-0216)",0.63,0.7,0.33,0.43,1,NA,NA,NA
"Central University of Kashmir, Srinagar (Id: U-0193)",0.59,0.29,0,0.08,0,0.6,NA,NA
"Central University of Orissa, Koraput (Id: U-0352)",1.1,0.92,1.15,0.71,NA,NA,NA,NA
"Central University of Punjab, Bathhinda (Id: U-0372)",1.27,1.22,0,0.59,NA,0.05,1.72,NA
"Central University of Rajasthan, Jaipur (Id: U-0392)",0.6,0.31,0.33,0.51,0.25,0.67,1.33,NA
"Central University of Tamil Nadu, Tiruvarur (Id: U-0449)",1.18,0.93,0.33,1.15,NA,0.22,1.13,NA
"Centre for Environmental Planning and Technology University, Ahmedabad (Id: U-0127)",0.94,0.68,0.86,0.69,1,NA,NA,NA
Centurion University of Technology and Management (Id: U-0353),0.2,0.13,0.13,0.18,NA,0.12,NA,NA
"Chandra Shekhar Azad University of Agriculture & Technology, Kanpur (Id: U-0504)",0.62,0.77,NA,0.57,NA,NA,NA,NA
"Chankaya National Law University, Patna (Id: U-0063)",0.93,1.17,1,0.81,0.75,0.69,NA,NA
"Charotar University of Science & Technology, Anand (Id: U-0128)",0.45,0.32,0.55,0.35,NA,NA,NA,NA
"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)",0.63,0.59,0.35,0.52,NA,NA,NA,NA
"Chaudhary Charan Singh Haryana Agricultural University, Hisar (Id: U-0159)",NA,NA,NA,NA,NA,NA,NA,NA
"Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya, Palampur (Id: U-0179)",1.71,1.11,2,NA,NA,NA,NA,0
"Ch. Devi Lal University, Sirsa (Id: U-0160)",0.83,0.56,NA,0.81,0.67,NA,1.16,NA
"Chennai Mathematical Institue, Chennai (Id: U-0450)",0.08,NA,NA,NA,NA,NA,NA,NA
"Chettinad Academy of Research & Education, Kancheepuram (Id: U-0451)",0,NA,NA,NA,NA,NA,NA,NA
CHHATTISGARH KAMDHENU VISHWAVIDALAYA (Id: U-0634),NA,NA,NA,NA,NA,NA,NA,NA
"Chhattisgarh Swami Vivekanand Technical University, Bhilai (Id: U-0083)",0.06,NA,NA,NA,NA,NA,NA,NA
"Children University, Gandhinagar (Id: U-0594)",NA,NA,NA,NA,NA,NA,NA,NA
"Chitkara University, Kalu Jhanda (Barotiwala), Solan (Id: U-0180)",0.53,0.62,1.33,0.28,NA,NA,NA,0
"Chitkara University, Patiala (Id: U-0373)",0.72,0,NA,NA,NA,NA,NA,NA
"Choudhary Charan Singh University, Meerut (Id: U-0506)",0.33,0.29,0,0.22,NA,0.03,0.1,NA
"Christ University, Bangalore (Id: U-0217)",0.92,0.8,1.48,0.55,NA,0.76,0.76,0.79
"Cochin University of Science & Technology, Kochi (Id: U-0253)",0.48,0.66,0.66,0.7,0.24,0.71,1.23,0.14
Dakshina Bharat Hindi Prachar Sabha (Id: U-0452),1.45,1.32,2,1.65,NA,NA,NA,NA
"Datta Meghe Institute of Medical Sciences, Nagpur (Id: U-0295)",1.95,3.86,3.62,2.08,NA,15.5,6,1.83
"Davangere University, Davangere (Id: U-0218)",0.97,0.69,0.73,0.98,1.33,0.84,4,NA
"Dayalbagh Educational Institute, Agra (Id: U-0507)",1.48,1.54,0.73,1.09,0.43,0.75,NA,0.27
"Deccan College Postgraduate & Research Institute, Pune (Id: U-0296)",1.8,0.5,NA,6,0,NA,NA,1.25
"Deenbandhu Chhotu Ram University of Science & Technology, Murthal(Sonepat) (Id: U-0161)",0.32,0.15,NA,0.18,0,0,0.08,NA
"Deen Dayal Upadhyay Gorakhpur University, Gorakhpur (Id: U-0508)",0.83,0.61,1.06,0.72,NA,NA,NA,NA
"Defence Institute of Advanced Technology, Girinagar, Pune (Id: U-0297)",0.11,0,0,0.33,NA,0,NA,NA
Delhi Technological University (Id: U-0098),0.18,0.18,0.28,0.13,0.15,NA,NA,NA
"Devi Ahilya Vishwavidyalaya, Indore (Id: U-0270)",0.73,NA,NA,NA,NA,NA,NA,NA
"Dev Sanskrit Vishwavidyalaya Gayatrikunj, Haridwar (Id: U-0551)",1.51,1.38,2.25,1.32,0,NA,NA,1.33
"Dharmsinh Desai univeristy, Nadiad (Id: U-0129)",0.56,0.53,0.48,0.52,NA,NA,NA,NA
"Dhirubhai Ambani Institute of Information & Communication Technology, Gandhi Nagar (Id: U-0130)",0.32,0.23,0.67,0.14,0.5,NA,NA,0
"Dibrugarh University, Dibrugarh (Id: U-0051)",1.1,1.05,1.02,1.32,0.33,2.76,NA,1
"Doon University, Dehradun (Id: U-0552)",1.73,0.92,1.6,0.9,NA,0,NA,NA
"Dravidian University, Kuppam, Chittoor District (Id: U-0010)",0.5,0.35,0.57,0.38,NA,NA,NA,NA
"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad (Id: U-0298)",0.43,0.46,0.21,0.36,0.29,0.45,0.69,0.09
"Dr. Babasaheb Ambedkar Open University, Ahmedabad (Id: U-0131)",0.75,0.63,0.54,0.79,NA,NA,NA,NA
"Dr. Babasaheb Ambedkar Technological University, Lonere (Id: U-0299)",0.43,0.46,0.36,0.41,1.33,0.33,0.4,NA
"Dr. Balasaheb Sawant Konkan Krishi Vidyaapeeth,(former Konkan Krishi Vidyapeeth) Ratnagiri (Id: U-0300)",0.76,0.78,0.43,0.77,0.5,0.39,5,NA
"Dr. B. R. Ambedkar National Institute of Technology, Jalandhar (Id: U-0374)",0.25,0.26,0.13,0.16,0.18,0.08,0.31,NA
"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",0.77,0.67,0.58,0.78,NA,0.8,0.99,NA
"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",0.64,0.63,0.38,0.56,1,0.24,1.75,NA
"Dr.B.R.Ambedkar University, Etcherla (Id: U-0009)",0.52,0.57,0.47,0.49,NA,NA,NA,NA
"Dr. C. V. Raman University, Kota Bilaspur (Id: U-0084)",0.55,0.45,0.57,0.48,NA,NA,NA,NA
"Dr. D.Y.Patil Vidyapeeth, Pune (Id: U-0301)",NA,NA,NA,NA,NA,NA,NA,NA
"Dr. Harisingh Gaur Vishwavidyalaya, Sagar (Id: U-0271)",0.48,0.29,0.4,0.38,0.29,0.56,0.9,NA
"Dr K N Modi University, Tonk (Id: U-0393)",0.15,0.14,0.04,0.05,0,0.05,1.09,0
"Dr. N.T.R. University of Health Sciences, Vijaywada (Id: U-0008)",NA,NA,NA,NA,NA,NA,NA,NA
"Dr. Punjarao Deshmukh Krishi Vidyapeeth, Akola (Id: U-0302)",0.01,NA,NA,NA,NA,NA,NA,NA
"Dr. Ram Manohar Lohia Awadh University, Faizabad (Id: U-0510)",0.74,0.52,1,0.65,NA,0.83,NA,NA
"Dr. Ram Manohar Lohiya National Law University, Lucknow (Id: U-0511)",0.79,0.78,3,0.76,NA,NA,1,NA
